SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=Be
AtomicNumber=4
MassNumber=9
E [MeV/u]	dEdx [MeV/cm]
7.58368		898.305
7.68928		888.589
7.79636		878.964
7.90493		869.424
8.01501		860.006
8.12662		850.697
8.23979		841.466
8.35453		832.315
8.47087		823.245
8.58883		814.256
8.70843		805.351
8.8297		796.529
8.95266		787.791
9.07733		779.138
9.20373		770.57
9.3319		762.085
9.46185		753.684
9.59361		745.366
9.7272		737.128
9.86266		728.969
10		720.865
10.1393		712.811
10.2804		704.834
10.4236		696.936
10.5688		689.12
10.7159		681.388
10.8652		673.741
11.0165		666.182
11.1699		658.711
11.3254		651.331
11.4831		644.042
11.643		636.845
11.8052		629.742
11.9696		622.731
12.1362		615.814
12.3052		608.99
12.4766		602.259
12.6503		595.619
12.8265		589.07
13.0051		582.61
13.1862		576.236
13.3698		569.945
13.556		563.735
13.7448		557.602
13.9362		551.541
14.1303		545.547
14.327		539.615
14.5265		533.738
14.7288		527.908
14.9339		522.132
15.1419		516.488
15.3528		510.878
15.5665		505.306
15.7833		499.772
16.0031		494.278
16.226		488.825
16.4519		483.415
16.681		478.049
16.9133		472.728
17.1488		467.454
17.3876		462.226
17.6298		457.047
17.8753		451.917
18.1242		446.836
18.3766		441.806
18.6325		436.826
18.8919		431.897
19.155		427.018
19.4217		422.191
19.6922		417.413
19.9664		412.674
20.2445		407.962
20.5264		403.3
20.8122		398.69
21.102		394.133
21.3959		389.631
21.6938		385.184
21.9959		380.793
22.3022		376.46
22.6128		372.185
22.9277		367.968
23.247		363.811
23.5707		359.713
23.8989		355.674
24.2317		351.693
24.5692		347.771
24.9113		343.907
25.2582		340.102
25.6099		336.354
25.9666		332.662
26.3282		329.024
26.6948		325.439
27.0665		321.904
27.4434		318.416
27.8256		314.974
28.2131		311.573
28.606		308.209
29.0043		304.879
29.4082		301.577
29.8177		298.299
30.2329		295.091
30.654		291.902
31.0808		288.734
31.5136		285.587
31.9525		282.462
32.3974		279.36
32.8486		276.283
33.306		273.231
33.7698		270.205
34.2401		267.206
34.7169		264.235
35.2003		261.293
35.6905		258.38
36.1875		255.497
36.6914		252.645
37.2024		249.825
37.7204		247.037
38.2457		244.281
38.7783		241.558
39.3183		238.869
39.8658		236.211
40.421		233.581
40.9838		230.985
41.5546		228.423
42.1332		225.895
42.7199		223.401
43.3148		220.941
43.918		218.514
44.5296		216.121
45.1497		213.76
45.7784		211.43
46.4159		209.132
47.0622		206.862
47.7176		204.622
48.3821		202.407
49.0558		200.218
49.739		198.051
50.4316		195.905
51.1339		193.78
51.8459		191.676
52.5679		189.594
53.2999		187.534
54.0422		185.496
54.7947		183.481
55.5578		181.488
56.3314		179.518
57.1159		177.57
57.9112		175.645
58.7177		173.741
59.5353		171.859
60.3644		169.994
61.205		168.151
62.0573		166.329
62.9215		164.529
63.7977		162.751
64.6861		160.996
65.5869		159.264
66.5002		157.554
67.4262		155.867
68.3652		154.202
69.3172		152.56
70.2824		150.94
71.2612		149.342
72.2535		147.766
73.2597		146.21
74.2798		144.675
75.3142		143.159
76.363		141.661
77.4264		140.181
78.5046		138.716
79.5978		137.268
80.7062		135.845
81.8301		134.436
82.9696		133.04
84.125		131.659
85.2964		130.293
86.4842		128.94
87.6886		127.603
88.9097		126.28
90.1478		124.971
91.4031		123.677
92.6759		122.398
93.9665		121.134
95.275		119.883
96.6017		118.646
97.947		117.424
99.3109		116.214
100.694		115.01
102.096		113.819
103.518		112.641
104.959		111.476
106.421		110.325
107.903		109.189
109.405		108.067
110.929		106.96
112.474		105.868
114.04		104.792
115.628		103.73
117.238		102.684
118.871		101.654
120.526		100.639
122.204		99.6398
123.906		98.6561
125.632		97.6877
127.381		96.7345
129.155		95.7962
130.954		94.8724
132.777		93.9628
134.626		93.0669
136.501		92.1839
138.402		91.3133
140.329		90.4543
142.283		89.6059
144.264		88.7672
146.273		87.9369
148.31		87.1139
150.376		86.3076
152.47		85.5135
154.593		84.7252
156.746		83.9431
158.928		83.1673
161.141		82.398
163.385		81.6355
165.661		80.8799
167.967		80.1314
170.307		79.3902
172.678		78.6565
175.083		77.9304
177.521		77.212
179.993		76.5014
182.499		75.7988
185.041		75.1042
187.617		74.4177
190.23		73.7392
192.879		73.0688
195.565		72.4065
198.288		71.7521
201.05		71.1014
203.849		70.4578
206.688		69.8224
209.566		69.1953
212.485		68.5767
215.443		67.9668
218.444		67.3658
221.486		66.7737
224.57		66.1907
227.697		65.6169
230.868		65.0523
234.083		64.4971
237.342		63.9511
240.648		63.4144
243.999		62.8871
247.396		62.3689
250.842		61.8598
254.335		61.3597
257.876		60.8684
261.467		60.3856
265.108		59.9111
268.8		59.4446
272.543		58.9856
276.339		58.5339
280.187		58.0888
284.088		57.6498
288.044		57.2164
292.056		56.7877
296.123		56.3631
300.246		55.9455
304.427		55.5345
308.666		55.1265
312.965		54.7217
317.323		54.3204
321.742		53.9225
326.222		53.5283
330.765		53.1378
335.371		52.7514
340.041		52.369
344.776		51.9909
349.578		51.6171
354.446		51.2478
359.381		50.8831
364.386		50.5232
369.46		50.1681
374.605		49.8179
379.822		49.4728
385.111		49.1328
390.474		48.7981
395.911		48.4686
401.424		48.1437
407.014		47.8239
412.682		47.5094
418.429		47.2004
424.256		46.8967
430.164		46.5983
436.154		46.3052
442.227		46.0173
448.386		45.7345
454.63		45.4567
460.96		45.1837
467.38		44.9153
473.888		44.6514
480.487		44.3918
487.178		44.136
493.962		43.8839
500.841		43.6351
507.815		43.3894
514.887		43.1469
522.057		42.9077
529.327		42.6718
536.698		42.4393
544.171		42.2102
551.749		41.9845
559.433		41.7622
567.223		41.5434
575.122		41.3281
583.131		41.1161
591.251		40.9075
599.484		40.7021
607.832		40.4997
616.297		40.3007
624.879		40.1051
633.58		39.9129
642.403		39.7242
651.349		39.539
660.419		39.3574
669.616		39.1792
678.941		39.0045
688.395		38.8334
697.981		38.6657
707.701		38.5013
717.556		38.3404
727.548		38.1827
737.68		38.0282
747.952		37.8767
758.368		37.7282
768.928		37.5825
779.636		37.4395
790.493		37.2989
801.501		37.1615
812.662		37.027
823.979		36.8947
835.453		36.7647
847.087		36.6368
858.883		36.5112
870.843		36.3878
882.97		36.2667
895.266		36.1478
907.733		36.0311
920.373		35.9166
933.19		35.8042
946.185		35.6938
959.361		35.5855
972.72		35.4792
986.266		35.3748
1000		35.2717
