SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=Li
AtomicNumber=3
MassNumber=7
E [MeV/u]	dEdx [MeV/cm]
8.12662		481.878
8.23979		476.55
8.35453		471.271
8.47087		466.043
8.58883		460.865
8.70843		455.739
8.8297		450.665
8.95266		445.643
9.07733		440.673
9.20373		435.754
9.3319		430.887
9.46185		426.071
9.59361		421.305
9.7272		416.587
9.86266		411.918
10		407.285
10.1393		402.682
10.2804		398.125
10.4236		393.615
10.5688		389.155
10.7159		384.744
10.8652		380.383
11.0165		376.075
11.1699		371.819
11.3254		367.615
11.4831		363.466
11.643		359.37
11.8052		355.329
11.9696		351.342
12.1362		347.41
12.3052		343.532
12.4766		339.708
12.6503		335.937
12.8265		332.218
13.0051		328.551
13.1862		324.935
13.3698		321.366
13.556		317.845
13.7448		314.368
13.9362		310.933
14.1303		307.537
14.327		304.177
14.5265		300.849
14.7288		297.549
14.9339		294.277
15.1419		291.084
15.3528		287.911
15.5665		284.759
15.7833		281.63
16.0031		278.525
16.226		275.442
16.4519		272.385
16.681		269.353
16.9133		266.347
17.1488		263.367
17.3876		260.415
17.6298		257.489
17.8753		254.592
18.1242		251.724
18.3766		248.884
18.6325		246.072
18.8919		243.29
19.155		240.536
19.4217		237.812
19.6922		235.116
19.9664		232.443
20.2445		229.785
20.5264		227.155
20.8122		224.554
21.102		221.983
21.3959		219.444
21.6938		216.935
21.9959		214.459
22.3022		212.015
22.6128		209.604
22.9277		207.226
23.247		204.882
23.5707		202.571
23.8989		200.293
24.2317		198.048
24.5692		195.837
24.9113		193.658
25.2582		191.513
25.6099		189.4
25.9666		187.318
26.3282		185.268
26.6948		183.246
27.0665		181.254
27.4434		179.288
27.8256		177.348
28.2131		175.431
28.606		173.535
29.0043		171.659
29.4082		169.799
29.8177		167.952
30.2329		166.143
30.654		164.347
31.0808		162.562
31.5136		160.789
31.9525		159.029
32.3974		157.282
32.8486		155.549
33.306		153.829
33.7698		152.125
34.2401		150.435
34.7169		148.762
35.2003		147.104
35.6905		145.464
36.1875		143.84
36.6914		142.233
37.2024		140.645
37.7204		139.074
38.2457		137.522
38.7783		135.988
39.3183		134.473
39.8658		132.976
40.421		131.495
40.9838		130.033
41.5546		128.589
42.1332		127.165
42.7199		125.761
43.3148		124.375
43.918		123.008
44.5296		121.66
45.1497		120.33
45.7784		119.019
46.4159		117.724
47.0622		116.446
47.7176		115.184
48.3821		113.937
49.0558		112.704
49.739		111.484
50.4316		110.275
51.1339		109.079
51.8459		107.894
52.5679		106.722
53.2999		105.562
54.0422		104.414
54.7947		103.28
55.5578		102.157
56.3314		101.048
57.1159		99.9508
57.9112		98.8664
58.7177		97.7944
59.5353		96.7345
60.3644		95.6848
61.205		94.6466
62.0573		93.6207
62.9215		92.6072
63.7977		91.6062
64.6861		90.6179
65.5869		89.6423
66.5002		88.6795
67.4262		87.7294
68.3652		86.7921
69.3172		85.8675
70.2824		84.9554
71.2612		84.0556
72.2535		83.1679
73.2597		82.2919
74.2798		81.4273
75.3142		80.5737
76.363		79.7304
77.4264		78.8969
78.5046		78.0725
79.5978		77.2564
80.7062		76.4554
81.8301		75.6621
82.9696		74.8766
84.125		74.099
85.2964		73.3295
86.4842		72.5681
87.6886		71.815
88.9097		71.07
90.1478		70.3334
91.4031		69.605
92.6759		68.8847
93.9665		68.1727
95.275		67.4686
96.6017		66.7724
97.947		66.0839
99.3109		65.4029
100.694		64.7255
102.096		64.0548
103.518		63.3916
104.959		62.736
106.421		62.0882
107.903		61.4485
109.405		60.8169
110.929		60.1937
112.474		59.5789
114.04		58.9726
115.628		58.375
117.238		57.7861
118.871		57.2059
120.526		56.6345
122.204		56.0719
123.906		55.518
125.632		54.9727
127.381		54.4359
129.155		53.9076
130.954		53.3874
132.777		52.8752
134.626		52.3707
136.501		51.8736
138.402		51.3834
140.329		50.8997
142.283		50.4221
144.264		49.9499
146.273		49.4826
148.31		49.0194
150.376		48.565
152.47		48.118
154.593		47.6744
156.746		47.2342
158.928		46.7976
161.141		46.3646
163.385		45.9355
165.661		45.5102
167.967		45.0889
170.307		44.6718
172.678		44.2588
175.083		43.8501
177.521		43.4457
179.993		43.0458
182.499		42.6503
185.041		42.2593
187.617		41.8729
190.23		41.491
192.879		41.1136
195.565		40.7408
198.288		40.3725
201.05		40.0064
203.849		39.6441
206.688		39.2864
209.566		38.9333
212.485		38.5851
215.443		38.2417
218.444		37.9033
221.486		37.57
224.57		37.2417
227.697		36.9186
230.868		36.6007
234.083		36.288
237.342		35.9806
240.648		35.6784
243.999		35.3814
247.396		35.0896
250.842		34.8029
254.335		34.5213
257.876		34.2446
261.467		33.9727
265.108		33.7056
268.8		33.4429
272.543		33.1845
276.339		32.9302
280.187		32.6796
284.088		32.4325
288.044		32.1886
292.056		31.9474
296.123		31.7084
300.246		31.4732
304.427		31.2419
308.666		31.0124
312.965		30.7846
317.323		30.5588
321.742		30.3349
326.222		30.113
330.765		29.8933
335.371		29.6758
340.041		29.4606
344.776		29.2478
349.578		29.0374
354.446		28.8296
359.381		28.6243
364.386		28.4217
369.46		28.2218
374.605		28.0246
379.822		27.8303
385.111		27.6389
390.474		27.4505
395.911		27.265
401.424		27.0821
407.014		26.902
412.682		26.7249
418.429		26.5509
424.256		26.3799
430.164		26.2119
436.154		26.0469
442.227		25.8848
448.386		25.7255
454.63		25.5691
460.96		25.4154
467.38		25.2644
473.888		25.1158
480.487		24.9696
487.178		24.8257
493.962		24.6838
500.841		24.5437
507.815		24.4054
514.887		24.269
522.057		24.1343
529.327		24.0015
536.698		23.8707
544.171		23.7417
551.749		23.6146
559.433		23.4895
567.223		23.3663
575.122		23.2451
583.131		23.1257
591.251		23.0083
599.484		22.8927
607.832		22.7787
616.297		22.6667
624.879		22.5565
633.58		22.4483
642.403		22.3421
651.349		22.2378
660.419		22.1355
669.616		22.0352
678.941		21.9368
688.395		21.8404
697.981		21.746
707.701		21.6534
717.556		21.5628
727.548		21.474
737.68		21.387
747.952		21.3017
758.368		21.2181
768.928		21.1361
779.636		21.0555
790.493		20.9764
801.501		20.899
812.662		20.8233
823.979		20.7488
835.453		20.6756
847.087		20.6036
858.883		20.5329
870.843		20.4634
882.97		20.3952
895.266		20.3283
907.733		20.2626
920.373		20.1981
933.19		20.1348
946.185		20.0727
959.361		20.0117
972.72		19.9519
986.266		19.8931
1000		19.8351
