SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=H
AtomicNumber=1
MassNumber=1
E [MeV/u]	dEdx [MeV/cm]
10.8652		42.3528
11.0165		41.8767
11.1699		41.4061
11.3254		40.9412
11.4831		40.482
11.643		40.0286
11.8052		39.581
11.9696		39.1393
12.1362		38.7035
12.3052		38.2735
12.4766		37.8493
12.6503		37.431
12.8265		37.0183
13.0051		36.6113
13.1862		36.2098
13.3698		35.8136
13.556		35.4225
13.7448		35.0364
13.9362		34.6549
14.1303		34.2778
14.327		33.9047
14.5265		33.5353
14.7288		33.169
14.9339		32.8055
15.1419		32.449
15.3528		32.0968
15.5665		31.747
15.7833		31.3995
16.0031		31.0544
16.226		30.7119
16.4519		30.3721
16.681		30.035
16.9133		29.7006
17.1488		29.3692
17.3876		29.0406
17.6298		28.7151
17.8753		28.3926
18.1242		28.0732
18.3766		27.7569
18.6325		27.4438
18.8919		27.1339
19.155		26.8272
19.4217		26.5236
19.6922		26.2232
19.9664		25.9259
20.2445		25.6298
20.5264		25.3367
20.8122		25.0467
21.102		24.7601
21.3959		24.4768
21.6938		24.1969
21.9959		23.9206
22.3022		23.6479
22.6128		23.3787
22.9277		23.1133
23.247		22.8515
23.5707		22.5934
23.8989		22.3391
24.2317		22.0885
24.5692		21.8416
24.9113		21.5983
25.2582		21.3588
25.6099		21.1228
25.9666		20.8904
26.3282		20.6614
26.6948		20.4358
27.0665		20.2133
27.4434		19.9939
27.8256		19.7774
28.2131		19.5636
28.606		19.3522
29.0043		19.1431
29.4082		18.9358
29.8177		18.7302
30.2329		18.5276
30.654		18.3277
31.0808		18.1289
31.5136		17.9315
31.9525		17.7355
32.3974		17.5408
32.8486		17.3477
33.306		17.1561
33.7698		16.9662
34.2401		16.7779
34.7169		16.5913
35.2003		16.4065
35.6905		16.2235
36.1875		16.0424
36.6914		15.8632
37.2024		15.686
37.7204		15.5107
38.2457		15.3375
38.7783		15.1663
39.3183		14.9972
39.8658		14.8303
40.421		14.665
40.9838		14.5017
41.5546		14.3406
42.1332		14.1816
42.7199		14.0248
43.3148		13.87
43.918		13.7174
44.5296		13.5669
45.1497		13.4184
45.7784		13.2719
46.4159		13.1274
47.0622		12.9847
47.7176		12.8439
48.3821		12.7047
49.0558		12.5672
49.739		12.4311
50.4316		12.2964
51.1339		12.163
51.8459		12.0309
52.5679		11.9001
53.2999		11.7708
54.0422		11.6428
54.7947		11.5162
55.5578		11.391
56.3314		11.2672
57.1159		11.1448
57.9112		11.0238
58.7177		10.9042
59.5353		10.7859
60.3644		10.6689
61.205		10.553
62.0573		10.4385
62.9215		10.3254
63.7977		10.2136
64.6861		10.1032
65.5869		9.9943
66.5002		9.88676
67.4262		9.78065
68.3652		9.67595
69.3172		9.57265
70.2824		9.47076
71.2612		9.37023
72.2535		9.27106
73.2597		9.1732
74.2798		9.07663
75.3142		8.98128
76.363		8.88712
77.4264		8.79406
78.5046		8.70204
79.5978		8.61097
80.7062		8.5213
81.8301		8.43278
82.9696		8.34512
84.125		8.25834
85.2964		8.17245
86.4842		8.08746
87.6886		8.00338
88.9097		7.92023
90.1478		7.83799
91.4031		7.75667
92.6759		7.67627
93.9665		7.59679
95.275		7.5182
96.6017		7.44051
97.947		7.36367
99.3109		7.28769
100.694		7.21229
102.096		7.13747
103.518		7.06347
104.959		6.99033
106.421		6.91805
107.903		6.84666
109.405		6.77617
110.929		6.70661
112.474		6.63798
114.04		6.57029
115.628		6.50357
117.238		6.43781
118.871		6.37302
120.526		6.3092
122.204		6.24636
123.906		6.18448
