SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=N
AtomicNumber=7
MassNumber=14
E [MeV/u]	dEdx [MeV/cm]
7.58368		2658.55
7.68928		2631.79
7.79636		2605.22
7.90493		2578.83
8.01501		2552.74
8.12662		2526.89
8.23979		2501.21
8.35453		2475.7
8.47087		2450.36
8.58883		2425.2
8.70843		2400.22
8.8297		2375.44
8.95266		2350.84
9.07733		2326.44
9.20373		2302.23
9.3319		2278.21
9.46185		2254.39
9.59361		2230.77
9.7272		2207.33
9.86266		2184.07
10		2160.92
10.1393		2137.88
10.2804		2115.03
10.4236		2092.37
10.5688		2069.9
10.7159		2047.65
10.8652		2025.62
11.0165		2003.8
11.1699		1982.21
11.3254		1960.86
11.4831		1939.75
11.643		1918.87
11.8052		1898.24
11.9696		1877.86
12.1362		1857.73
12.3052		1837.85
12.4766		1818.22
12.6503		1798.83
12.8265		1779.68
13.0051		1760.78
13.1862		1742.11
13.3698		1723.66
13.556		1705.43
13.7448		1687.41
13.9362		1669.58
14.1303		1651.93
14.327		1634.45
14.5265		1617.1
14.7288		1599.88
14.9339		1582.82
15.1419		1566.12
15.3528		1549.5
15.5665		1532.98
15.7833		1516.56
16.0031		1500.23
16.226		1484.02
16.4519		1467.92
16.681		1451.95
16.9133		1436.09
17.1488		1420.36
17.3876		1404.76
17.6298		1389.29
17.8753		1373.96
18.1242		1358.77
18.3766		1343.72
18.6325		1328.8
18.8919		1314.04
19.155		1299.41
19.4217		1284.93
19.6922		1270.59
19.9664		1256.35
20.2445		1242.19
20.5264		1228.18
20.8122		1214.31
21.102		1200.6
21.3959		1187.04
21.6938		1173.65
21.9959		1160.42
22.3022		1147.36
22.6128		1134.47
22.9277		1121.75
23.247		1109.2
23.5707		1096.83
23.8989		1084.63
24.2317		1072.61
24.5692		1060.76
24.9113		1049.08
25.2582		1037.58
25.6099		1026.25
25.9666		1015.08
26.3282		1004.07
26.6948		993.219
27.0665		982.517
27.4434		971.955
27.8256		961.526
28.2131		951.219
28.606		941.023
29.0043		930.924
29.4082		920.909
29.8177		910.974
30.2329		901.237
30.654		891.556
31.0808		881.935
31.5136		872.377
31.9525		862.885
32.3974		853.461
32.8486		844.11
33.306		834.833
33.7698		825.634
34.2401		816.516
34.7169		807.481
