SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=O
AtomicNumber=8
MassNumber=16
E [MeV/u]	dEdx [MeV/cm]
7.90493		3318.99
8.01501		3286.28
8.12662		3253.84
8.23979		3221.59
8.35453		3189.53
8.47087		3157.67
8.58883		3126.01
8.70843		3094.56
8.8297		3063.34
8.95266		3032.33
9.07733		3001.55
9.20373		2971
9.3319		2940.68
9.46185		2910.58
9.59361		2880.71
9.7272		2851.07
9.86266		2821.63
10		2792.31
10.1393		2763.11
10.2804		2734.13
10.4236		2705.39
10.5688		2676.88
10.7159		2648.62
10.8652		2620.62
11.0165		2592.9
11.1699		2565.45
11.3254		2538.29
11.4831		2511.41
11.643		2484.84
11.8052		2458.56
11.9696		2432.59
12.1362		2406.93
12.3052		2381.57
12.4766		2356.53
12.6503		2331.78
12.8265		2307.34
13.0051		2283.2
13.1862		2259.34
13.3698		2235.76
13.556		2212.45
13.7448		2189.4
13.9362		2166.58
14.1303		2143.98
14.327		2121.58
14.5265		2099.36
14.7288		2077.27
14.9339		2055.42
15.1419		2033.98
15.3528		2012.66
15.5665		1991.44
15.7833		1970.34
16.0031		1949.37
16.226		1928.53
16.4519		1907.83
16.681		1887.28
16.9133		1866.88
17.1488		1846.63
17.3876		1826.54
17.6298		1806.62
17.8753		1786.87
18.1242		1767.28
18.3766		1747.88
18.6325		1728.65
18.8919		1709.6
19.155		1690.73
19.4217		1672.04
19.6922		1653.53
19.9664		1635.13
20.2445		1616.84
20.5264		1598.73
20.8122		1580.81
21.102		1563.08
21.3959		1545.55
21.6938		1528.23
21.9959		1511.12
22.3022		1494.22
22.6128		1477.54
22.9277		1461.07
23.247		1444.83
23.5707		1428.82
23.8989		1413.02
24.2317		1397.45
24.5692		1382.1
24.9113		1366.97
25.2582		1352.06
25.6099		1337.37
25.9666		1322.9
26.3282		1308.63
26.6948		1294.56
27.0665		1280.68
27.4434		1266.98
27.8256		1253.45
28.2131		1240.07
28.606		1226.84
29.0043		1213.73
29.4082		1200.73
29.8177		1187.83
30.2329		1175.19
30.654		1162.61
31.0808		1150.11
31.5136		1137.69
31.9525		1125.36
32.3974		1113.11
32.8486		1100.96
33.306		1088.9
33.7698		1076.94
34.2401		1065.08
34.7169		1053.33
35.2003		1041.69
35.6905		1030.16
36.1875		1018.75
