SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=B
AtomicNumber=5
MassNumber=10
E [MeV/u]	dEdx [MeV/cm]
7.47952		1405.45
7.58368		1390.6
7.68928		1375.89
7.79636		1361.31
7.90493		1346.84
8.01501		1332.55
8.12662		1318.42
8.23979		1304.39
8.35453		1290.48
8.47087		1276.68
8.58883		1262.99
8.70843		1249.42
8.8297		1235.97
8.95266		1222.64
9.07733		1209.44
9.20373		1196.35
9.3319		1183.38
9.46185		1170.54
9.59361		1157.81
9.7272		1145.2
9.86266		1132.7
10		1120.27
10.1393		1107.92
10.2804		1095.68
10.4236		1083.56
10.5688		1071.55
10.7159		1059.67
10.8652		1047.92
11.0165		1036.29
11.1699		1024.79
11.3254		1013.43
11.4831		1002.21
11.643		991.125
11.8052		980.178
11.9696		969.371
12.1362		958.704
12.3052		948.178
12.4766		937.79
12.6503		927.541
12.8265		917.428
13.0051		907.449
13.1862		897.6
13.3698		887.877
13.556		878.276
13.7448		868.79
13.9362		859.413
14.1303		850.137
14.327		840.953
14.5265		831.851
14.7288		822.821
14.9339		813.877
15.1419		805.128
15.3528		796.432
15.5665		787.79
15.7833		779.207
16.0031		770.683
16.226		762.221
16.4519		753.824
16.681		745.493
16.9133		737.231
17.1488		729.04
17.3876		720.921
17.6298		712.875
17.8753		704.903
18.1242		697.007
18.3766		689.187
18.6325		681.445
18.8919		673.782
19.155		666.196
19.4217		658.688
19.6922		651.256
19.9664		643.882
20.2445		636.549
20.5264		629.295
20.8122		622.12
21.102		615.028
21.3959		608.019
21.6938		601.097
21.9959		594.261
22.3022		587.514
22.6128		580.858
22.9277		574.292
23.247		567.817
23.5707		561.435
23.8989		555.143
24.2317		548.941
24.5692		542.831
24.9113		536.813
25.2582		530.885
25.6099		525.045
25.9666		519.292
26.3282		513.623
26.6948		508.036
27.0665		502.527
27.4434		497.091
27.8256		491.725
28.2131		486.423
28.606		481.179
29.0043		475.987
29.4082		470.839
29.8177		465.73
30.2329		460.728
30.654		455.754
31.0808		450.813
31.5136		445.904
31.9525		441.031
32.3974		436.193
32.8486		431.393
33.306		426.632
33.7698		421.912
34.2401		417.235
34.7169		412.6
35.2003		408.01
35.6905		403.466
36.1875		398.969
36.6914		394.519
37.2024		390.119
37.7204		385.769
38.2457		381.469
38.7783		377.221
39.3183		373.024
39.8658		368.877
40.421		364.772
40.9838		360.721
41.5546		356.722
42.1332		352.777
42.7199		348.885
43.3148		345.045
43.918		341.258
44.5296		337.523
45.1497		333.838
45.7784		330.202
46.4159		326.614
47.0622		323.072
47.7176		319.575
48.3821		316.118
49.0558		312.701
49.739		309.318
50.4316		305.968
51.1339		302.651
51.8459		299.367
52.5679		296.117
53.2999		292.901
54.0422		289.721
54.7947		286.575
55.5578		283.464
56.3314		280.388
57.1159		277.348
57.9112		274.341
58.7177		271.369
59.5353		268.431
60.3644		265.52
61.205		262.642
62.0573		259.798
62.9215		256.987
63.7977		254.212
64.6861		251.472
65.5869		248.767
66.5002		246.097
67.4262		243.463
68.3652		240.864
69.3172		238.301
70.2824		235.771
71.2612		233.276
72.2535		230.815
73.2597		228.386
74.2798		225.988
75.3142		223.621
76.363		221.282
77.4264		218.971
78.5046		216.684
79.5978		214.423
80.7062		212.201
81.8301		210
82.9696		207.821
84.125		205.665
85.2964		203.531
86.4842		201.419
87.6886		199.33
88.9097		197.264
90.1478		195.221
91.4031		193.201
92.6759		191.204
93.9665		189.229
95.275		187.276
96.6017		185.345
97.947		183.435
99.3109		181.546
100.694		179.666
102.096		177.805
103.518		175.965
104.959		174.147
106.421		172.35
107.903		170.575
109.405		168.823
110.929		167.095
112.474		165.389
114.04		163.708
115.628		162.05
117.238		160.417
118.871		158.808
120.526		157.223
122.204		155.663
123.906		154.127
125.632		152.615
127.381		151.126
129.155		149.661
130.954		148.218
132.777		146.798
134.626		145.399
136.501		144.02
138.402		142.661
140.329		141.319
142.283		139.994
144.264		138.685
146.273		137.388
148.31		136.102
150.376		134.844
152.47		133.604
154.593		132.372
156.746		131.151
158.928		129.939
161.141		128.737
163.385		127.546
165.661		126.366
167.967		125.197
170.307		124.04
172.678		122.893
175.083		121.759
177.521		120.637
179.993		119.527
182.499		118.43
185.041		117.345
187.617		116.273
190.23		115.213
192.879		114.166
195.565		113.132
198.288		112.11
