SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=C
AtomicNumber=6
MassNumber=12
E [MeV/u]	dEdx [MeV/cm]
7.47952		1999.61
7.58368		1979
7.68928		1958.56
7.79636		1938.28
7.90493		1918.15
8.01501		1898.27
8.12662		1878.57
8.23979		1859.02
8.35453		1839.61
8.47087		1820.34
8.58883		1801.22
8.70843		1782.26
8.8297		1763.44
8.95266		1744.79
9.07733		1726.29
9.20373		1707.95
9.3319		1689.77
9.46185		1671.75
9.59361		1653.88
9.7272		1636.17
9.86266		1618.6
10		1601.13
10.1393		1583.75
10.2804		1566.51
10.4236		1549.44
10.5688		1532.52
10.7159		1515.77
10.8652		1499.19
11.0165		1482.78
11.1699		1466.56
11.3254		1450.51
11.4831		1434.65
11.643		1418.98
11.8052		1403.51
11.9696		1388.22
12.1362		1373.13
12.3052		1358.22
12.4766		1343.51
12.6503		1329
12.8265		1314.66
13.0051		1300.52
13.1862		1286.55
13.3698		1272.76
13.556		1259.13
13.7448		1245.66
13.9362		1232.35
14.1303		1219.17
14.327		1206.12
14.5265		1193.17
14.7288		1180.33
14.9339		1167.61
15.1419		1155.16
15.3528		1142.78
15.5665		1130.47
15.7833		1118.24
16.0031		1106.09
16.226		1094.03
16.4519		1082.06
16.681		1070.18
16.9133		1058.39
17.1488		1046.7
17.3876		1035.11
17.6298		1023.63
17.8753		1012.24
18.1242		1000.97
18.3766		989.797
18.6325		978.735
18.8919		967.783
19.155		956.941
19.4217		946.206
19.6922		935.58
19.9664		925.028
20.2445		914.539
20.5264		904.16
20.8122		893.893
21.102		883.743
21.3959		873.711
21.6938		863.801
21.9959		854.015
22.3022		844.355
22.6128		834.822
22.9277		825.418
23.247		816.145
23.5707		807.002
23.8989		797.988
24.2317		789.102
24.5692		780.347
24.9113		771.723
25.2582		763.227
25.6099		754.856
25.9666		746.61
26.3282		738.483
26.6948		730.472
27.0665		722.572
27.4434		714.777
27.8256		707.08
28.2131		699.475
28.606		691.951
29.0043		684.501
29.4082		677.113
29.8177		669.786
30.2329		662.605
30.654		655.465
31.0808		648.37
31.5136		641.323
31.9525		634.325
32.3974		627.379
32.8486		620.486
33.306		613.649
33.7698		606.871
34.2401		600.152
34.7169		593.496
35.2003		586.903
35.6905		580.376
36.1875		573.916
36.6914		567.525
37.2024		561.203
37.7204		554.953
38.2457		548.775
38.7783		542.671
39.3183		536.641
39.8658		530.68
40.421		524.782
40.9838		518.959
41.5546		513.213
42.1332		507.543
42.7199		501.949
43.3148		496.43
43.918		490.987
44.5296		485.617
45.1497		480.32
45.7784		475.094
46.4159		469.936
47.0622		464.845
47.7176		459.816
48.3821		454.847
49.0558		449.933
49.739		445.069
50.4316		440.252
51.1339		435.482
51.8459		430.76
52.5679		426.087
53.2999		421.464
54.0422		416.89
54.7947		412.367
55.5578		407.894
