SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=He
AtomicNumber=2
MassNumber=4
E [MeV/u]	dEdx [MeV/cm]
9.20373		192.716
9.3319		190.573
9.46185		188.452
9.59361		186.354
9.7272		184.279
9.86266		182.228
10		180.2
10.1393		178.19
10.2804		176.203
10.4236		174.241
10.5688		172.303
10.7159		170.389
10.8652		168.498
11.0165		166.632
11.1699		164.789
11.3254		162.97
11.4831		161.173
11.643		159.398
11.8052		157.645
11.9696		155.912
12.1362		154.199
12.3052		152.504
12.4766		150.826
12.6503		149.164
12.8265		147.517
13.0051		145.886
13.1862		144.27
13.3698		142.671
13.556		141.089
13.7448		139.522
13.9362		137.972
14.1303		136.439
14.327		134.922
14.5265		133.421
14.7288		131.935
14.9339		130.466
15.1419		129.009
15.3528		127.567
15.5665		126.14
15.7833		124.729
16.0031		123.334
16.226		121.955
16.4519		120.592
16.681		119.245
16.9133		117.915
17.1488		116.601
17.3876		115.303
17.6298		114.021
17.8753		112.755
18.1242		111.505
18.3766		110.269
18.6325		109.048
18.8919		107.841
19.155		106.648
19.4217		105.467
19.6922		104.298
19.9664		103.14
20.2445		102
20.5264		100.872
20.8122		99.7534
21.102		98.6451
21.3959		97.5473
21.6938		96.4601
21.9959		95.3835
22.3022		94.3178
22.6128		93.263
22.9277		92.219
23.247		91.186
23.5707		90.1637
23.8989		89.1522
24.2317		88.1513
24.5692		87.1608
24.9113		86.1804
25.2582		85.2057
25.6099		84.2394
25.9666		83.2833
26.3282		82.3375
26.6948		81.4025
27.0665		80.4783
27.4434		79.5653
27.8256		78.6635
28.2131		77.7733
28.606		76.8946
29.0043		76.0278
29.4082		75.1727
29.8177		74.3296
30.2329		73.4984
30.654		72.6791
31.0808		71.8717
31.5136		71.076
31.9525		70.292
32.3974		69.5193
32.8486		68.7578
33.306		68.0072
33.7698		67.267
34.2401		66.5368
34.7169		65.8162
35.2003		65.1044
35.6905		64.401
36.1875		63.7049
36.6914		63.0156
37.2024		62.3318
37.7204		61.6585
38.2457		60.9972
38.7783		60.3403
39.3183		59.6879
39.8658		59.0404
40.421		58.3977
40.9838		57.7602
41.5546		57.1279
42.1332		56.501
42.7199		55.8796
43.3148		55.2639
43.918		54.6541
44.5296		54.0501
45.1497		53.4521
45.7784		52.8602
46.4159		52.2744
47.0622		51.6948
47.7176		51.1214
48.3821		50.5542
49.0558		49.9933
49.739		49.4384
50.4316		48.8871
51.1339		48.3404
51.8459		47.7999
52.5679		47.2659
53.2999		46.7384
54.0422		46.2176
54.7947		45.7036
55.5578		45.1965
56.3314		44.6964
57.1159		44.2035
57.9112		43.7177
58.7177		43.2391
59.5353		42.7677
60.3644		42.3036
61.205		41.8466
62.0573		41.3969
62.9215		40.9542
63.7977		40.5185
64.6861		40.0896
65.5869		39.6675
66.5002		39.2518
67.4262		38.8424
68.3652		38.4389
69.3172		38.041
70.2824		37.6484
71.2612		37.2606
72.2535		36.8772
73.2597		36.4975
74.2798		36.1211
75.3142		35.749
76.363		35.3834
77.4264		35.02
78.5046		34.6591
79.5978		34.3006
80.7062		33.9448
81.8301		33.5918
82.9696		33.2417
84.125		32.8946
85.2964		32.5505
86.4842		32.2097
87.6886		31.8722
88.9097		31.5382
90.1478		31.2077
91.4031		30.8808
92.6759		30.5576
93.9665		30.2383
95.275		29.9228
96.6017		29.6112
97.947		29.3037
99.3109		29.0002
100.694		28.7004
102.096		28.4042
103.518		28.1122
104.959		27.8243
106.421		27.5406
107.903		27.2609
109.405		26.9854
110.929		26.7139
112.474		26.4463
114.04		26.1826
115.628		25.9227
117.238		25.6663
118.871		25.4135
120.526		25.1639
122.204		24.9173
123.906		24.6736
125.632		24.4323
127.381		24.1935
129.155		23.9571
130.954		23.7231
132.777		23.4916
134.626		23.2626
136.501		23.0362
138.402		22.8123
140.329		22.591
142.283		22.3723
144.264		22.1561
146.273		21.9424
148.31		21.7312
150.376		21.5224
152.47		21.3156
154.593		21.1112
156.746		20.9094
158.928		20.7102
161.141		20.5136
163.385		20.3196
165.661		20.1284
167.967		19.9399
170.307		19.7542
172.678		19.5713
175.083		19.3913
177.521		19.214
179.993		19.0396
182.499		18.868
185.041		18.6991
187.617		18.5331
190.23		18.3697
192.879		18.2091
195.565		18.051
198.288		17.8954
201.05		17.7423
203.849		17.5915
206.688		17.4428
209.566		17.2962
212.485		17.1515
215.443		17.0084
218.444		16.8667
221.486		16.7263
224.57		16.5869
227.697		16.4481
230.868		16.3097
234.083		16.1712
237.342		16.0324
240.648		15.8928
243.999		15.752
247.396		15.6094
250.842		15.4336
254.335		15.3089
257.876		15.1864
261.467		15.066
265.108		14.9477
268.8		14.8314
272.543		14.717
276.339		14.6043
280.187		14.4933
284.088		14.3838
288.044		14.2756
292.056		14.1687
296.123		14.0627
300.246		13.9586
304.427		13.856
308.666		13.7542
312.965		13.6532
317.323		13.553
321.742		13.4537
326.222		13.3553
330.765		13.2578
335.371		13.1613
340.041		13.0659
344.776		12.9715
349.578		12.8781
354.446		12.7859
359.381		12.6949
364.386		12.605
369.46		12.5163
374.605		12.4289
379.822		12.3427
385.111		12.2579
